"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Amount","FlagCodes"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2020",5692.402,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2021",6225.535,"E"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2022",6372.027,"E"
"AUT","HEALTHEXP","TOT","USD_CAP","A","2020",5863.664,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2021",6690.093,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2022",7275.354,"P"
"BEL","HEALTHEXP","TOT","USD_CAP","A","2020",5509.054,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2021",6022.253,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2022",6599.981,"E"
"CAN","HEALTHEXP","TOT","USD_CAP","A","2020",5879.075,"D"
"CAN","HEALTHEXP","TOT","USD_CAP","A","2021",6277.503,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2022",6319.038,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2020",3804.101,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2021",4302.98,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2022",4512.162,"E"
"DNK","HEALTHEXP","TOT","USD_CAP","A","2020",5697.193,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2021",6372.074,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2022",6279.807,"P"
"FIN","HEALTHEXP","TOT","USD_CAP","A","2020",4614.556,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2021",5251.501,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2022",5598.892,"E"
"FRA","HEALTHEXP","TOT","USD_CAP","A","2020",5453.182,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2021",6105.608,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2022",6629.556,"E"
"DEU","HEALTHEXP","TOT","USD_CAP","A","2020",6945.909,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2021",7518.153,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2022",8010.935,"P"
"GRC","HEALTHEXP","TOT","USD_CAP","A","2020",2486.091,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2021",2736.445,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2022",3015.251,"E"
"HUN","HEALTHEXP","TOT","USD_CAP","A","2020",2421.807,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2021",2748.683,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2022",2840.101,"P"
"ISL","HEALTHEXP","TOT","USD_CAP","A","2020",4632.283,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2021",5106.541,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2022",5314.11,"P"
"IRL","HEALTHEXP","TOT","USD_CAP","A","2020",5378.183,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2021",5860.738,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2022",6046.548,"P"
"ITA","HEALTHEXP","TOT","USD_CAP","A","2020",3753.088,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2021",4042.558,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2022",4290.689,"P"
"JPN","HEALTHEXP","TOT","USD_CAP","A","2020",4619.518,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2021",4899.088,"P"
"JPN","HEALTHEXP","TOT","USD_CAP","A","2022",5250.603,"E"
"KOR","HEALTHEXP","TOT","USD_CAP","A","2020",3590.183,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2021",4189.091,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2022",4569.508,"P"
"LUX","HEALTHEXP","TOT","USD_CAP","A","2020",5652.538,
"LUX","HEALTHEXP","TOT","USD_CAP","A","2021",6273.571,
"LUX","HEALTHEXP","TOT","USD_CAP","A","2022",6436.062,"P"
"MEX","HEALTHEXP","TOT","USD_CAP","A","2020",1226.606,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2021",1262.436,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2022",1181.041,"E"
"NLD","HEALTHEXP","TOT","USD_CAP","A","2020",6192.982,
"NLD","HEALTHEXP","TOT","USD_CAP","A","2021",6739.052,
"NLD","HEALTHEXP","TOT","USD_CAP","A","2022",6729.134,"P"
"NZL","HEALTHEXP","TOT","USD_CAP","A","2020",4469.383,"E"
"NZL","HEALTHEXP","TOT","USD_CAP","A","2021",4921.245,"E"
"NZL","HEALTHEXP","TOT","USD_CAP","A","2022",6060.93,"E"
"NOR","HEALTHEXP","TOT","USD_CAP","A","2020",6581.629,
"NOR","HEALTHEXP","TOT","USD_CAP","A","2021",7042.618,"P"
"NOR","HEALTHEXP","TOT","USD_CAP","A","2022",7771.165,"E"
"POL","HEALTHEXP","TOT","USD_CAP","A","2020",2286.109,
"POL","HEALTHEXP","TOT","USD_CAP","A","2021",2522.435,
"POL","HEALTHEXP","TOT","USD_CAP","A","2022",2972.962,"P"
"PRT","HEALTHEXP","TOT","USD_CAP","A","2020",3354.909,
"PRT","HEALTHEXP","TOT","USD_CAP","A","2021",3829.76,
"PRT","HEALTHEXP","TOT","USD_CAP","A","2022",4162.088,"P"
"SVK","HEALTHEXP","TOT","USD_CAP","A","2020",2125.666,
"SVK","HEALTHEXP","TOT","USD_CAP","A","2021",2521.59,
"SVK","HEALTHEXP","TOT","USD_CAP","A","2022",2755.944,"E"
"ESP","HEALTHEXP","TOT","USD_CAP","A","2020",3715.968,
"ESP","HEALTHEXP","TOT","USD_CAP","A","2021",4086.783,
"ESP","HEALTHEXP","TOT","USD_CAP","A","2022",4431.858,"E"
"SWE","HEALTHEXP","TOT","USD_CAP","A","2020",5733.534,
"SWE","HEALTHEXP","TOT","USD_CAP","A","2021",6227.612,"P"
"SWE","HEALTHEXP","TOT","USD_CAP","A","2022",6437.692,"P"
"CHE","HEALTHEXP","TOT","USD_CAP","A","2020",7022.378,
"CHE","HEALTHEXP","TOT","USD_CAP","A","2021",7582.184,
"CHE","HEALTHEXP","TOT","USD_CAP","A","2022",8049.11,"E"
"TUR","HEALTHEXP","TOT","USD_CAP","A","2020",1304.709,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2021",1559.535,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2022",1827.482,"E"
"GBR","HEALTHEXP","TOT","USD_CAP","A","2020",4997.928,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2021",5466.568,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2022",5492.642,"P"
"USA","HEALTHEXP","TOT","USD_CAP","A","2020",11915.945,
"USA","HEALTHEXP","TOT","USD_CAP","A","2021",12196.966,
"USA","HEALTHEXP","TOT","USD_CAP","A","2022",12555.264,"E"
